****                   ADMIXTURE Version 1.4.0                  ****
****                    Copyright 2008-2025                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John Novembre, Ken Lange                    ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at https://dalexander.github.io/admixture/   ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 8 threads.
Random seed: 1259
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 14466x148419
Performing five EM steps to prime main algorithm
114 (QN/Block) 	Elapsed: 58.507	Loglikelihood: -1.93152e+09	(delta): 4933.9
115 (QN/Block) 	Elapsed: 58.364	Loglikelihood: -1.93152e+09	(delta): 3020.55
116 (QN/Block) 	Elapsed: 58.62	Loglikelihood: -1.93152e+09	(delta): 4043.3
117 (QN/Block) 	Elapsed: 58.554	Loglikelihood: -1.93151e+09	(delta): 2196.94
118 (QN/Block) 	Elapsed: 58.535	Loglikelihood: -1.93151e+09	(delta): 7553.15
119 (QN/Block) 	Elapsed: 78.473	Loglikelihood: -1.9315e+09	(delta): 4637.63
120 (QN/Block) 	Elapsed: 78.678	Loglikelihood: -1.9315e+09	(delta): 2398.41
121 (QN/Block) 	Elapsed: 65.127	Loglikelihood: -1.9315e+09	(delta): 816.461
122 (QN/Block) 	Elapsed: 78.681	Loglikelihood: -1.9315e+09	(delta): 276.33
123 (QN/Block) 	Elapsed: 58.534	Loglikelihood: -1.9315e+09	(delta): 152.995
124 (QN/Block) 	Elapsed: 58.464	Loglikelihood: -1.9315e+09	(delta): 9.87982
125 (QN/Block) 	Elapsed: 58.544	Loglikelihood: -1.9315e+09	(delta): 3.17075
126 (QN/Block) 	Elapsed: 58.583	Loglikelihood: -1.9315e+09	(delta): 0.421322
127 (QN/Block) 	Elapsed: 71.919	Loglikelihood: -1.9315e+09	(delta): 0.135174
128 (QN/Block) 	Elapsed: 65.225	Loglikelihood: -1.9315e+09	(delta): 0.132698
129 (QN/Block) 	Elapsed: 65.272	Loglikelihood: -1.9315e+09	(delta): 0.116334
130 (QN/Block) 	Elapsed: 58.574	Loglikelihood: -1.9315e+09	(delta): 0.236149
131 (QN/Block) 	Elapsed: 58.602	Loglikelihood: -1.9315e+09	(delta): 0.122407
132 (QN/Block) 	Elapsed: 78.416	Loglikelihood: -1.9315e+09	(delta): 0.0194333
133 (QN/Block) 	Elapsed: 58.582	Loglikelihood: -1.9315e+09	(delta): 0.0297625
134 (QN/Block) 	Elapsed: 58.578	Loglikelihood: -1.9315e+09	(delta): 0.0148416
135 (QN/Block) 	Elapsed: 78.644	Loglikelihood: -1.9315e+09	(delta): 0.00276804
136 (QN/Block) 	Elapsed: 78.61	Loglikelihood: -1.9315e+09	(delta): 0.00201511
137 (QN/Block) 	Elapsed: 78.502	Loglikelihood: -1.9315e+09	(delta): 0.00154614
138 (QN/Block) 	Elapsed: 58.506	Loglikelihood: -1.9315e+09	(delta): 0.00690055
139 (QN/Block) 	Elapsed: 58.557	Loglikelihood: -1.9315e+09	(delta): 0.00496602
140 (QN/Block) 	Elapsed: 58.447	Loglikelihood: -1.9315e+09	(delta): 0.00237036
141 (QN/Block) 	Elapsed: 58.607	Loglikelihood: -1.9315e+09	(delta): 7.67708e-05
Summary: 
Converged in 141 iterations (10393.2 sec)
Loglikelihood: -1931499062.253683
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	Pop5	
Pop0	
Pop1	0.081	
Pop2	0.083	0.052	
Pop3	0.108	0.067	0.103	
Pop4	0.166	0.138	0.170	0.151	
Pop5	0.143	0.109	0.139	0.099	0.203	
Pop6	0.082	0.043	0.024	0.093	0.162	0.122	
CV error (K=7): 0.49184
Writing output files.
ADMIXTURE execution complete for K=7
